1A1,6500,10000
1A2,13800,10000
1A3,21100,10000
1A4,28400,10000
1A5,35700,10000
1A6,43000,10000
1A7,50300,10000
1A8,57600,10000
1A9,64900,10000
1A10,72200,10000
1A11,79500,10000
1A12,86800,10000
1B12,86800,17300
1B11,79500,17300
1B10,72200,17300
1B9,64900,17300
1B8,57600,17300
1B7,50300,17300
1B6,43000,17300
1B5,35700,17300
1B4,28400,17300
1B3,21100,17300
1B2,13800,17300
1B1,6500,17300
1C1,6500,24600
1C2,13800,24600
1C3,21100,24600
1C4,28400,24600
1C5,35700,24600
1C6,43000,24600
1C7,50300,24600
1C8,57600,24600
1C9,64900,24600
1C10,72200,24600
1C11,79500,24600
1C12,86800,24600
1D12,86800,31900
1D11,79500,31900
1D10,72200,31900
1D9,64900,31900
1D8,57600,31900
1D7,50300,31900
1D6,43000,31900
1D5,35700,31900
1D4,28400,31900
1D3,21100,31900
1D2,13800,31900
1D1,6500,31900
1E1,6500,39200
1E2,13800,39200
1E3,21100,39200
1E4,28400,39200
1E5,35700,39200
1E6,43000,39200
1E7,50300,39200
1E8,57600,39200
1E9,64900,39200
1E10,72200,39200
1E11,79500,39200
1E12,86800,39200
1F12,86800,46500
1F11,79500,46500
1F10,72200,46500
1F9,64900,46500
1F8,57600,46500
1F7,50300,46500
1F6,43000,46500
1F5,35700,46500
1F4,28400,46500
1F3,21100,46500
1F2,13800,46500
1F1,6500,46500
1G1,6500,53800
1G2,13800,53800
1G3,21100,53800
1G4,28400,53800
1G5,35700,53800
1G6,43000,53800
1G7,50300,53800
1G8,57600,53800
1G9,64900,53800
1G10,72200,53800
1G11,79500,53800
1G12,86800,53800
1H12,86800,61100
1H11,79500,61100
1H10,72200,61100
1H9,64900,61100
1H8,57600,61100
1H7,50300,61100
1H6,43000,61100
1H5,35700,61100
1H4,28400,61100
1H3,21100,61100
1H2,13800,61100
1H1,6500,61100
2A1,90000,10000
2A2,97300,10000
2A3,104600,10000
2A4,111900,10000
2A5,119200,10000
2A6,126500,10000
2A7,133800,10000
2A8,141100,10000
2A9,148400,10000
2A10,155700,10000
2A11,163000,10000
2A12,170300,10000
2B12,170300,17300
2B11,163000,17300
2B10,155700,17300
2B9,148400,17300
2B8,141100,17300
2B7,133800,17300
2B6,126500,17300
2B5,119200,17300
2B4,111900,17300
2B3,104600,17300
2B2,97300,17300
2B1,90000,17300
2C1,90000,24600
2C2,97300,24600
2C3,104600,24600
2C4,111900,24600
2C5,119200,24600
2C6,126500,24600
2C7,133800,24600
2C8,141100,24600
2C9,148400,24600
2C10,155700,24600
2C11,163000,24600
2C12,170300,24600
2D12,170300,31900
2D11,163000,31900
2D10,155700,31900
2D9,148400,31900
2D8,141100,31900
2D7,133800,31900
2D6,126500,31900
2D5,119200,31900
2D4,111900,31900
2D3,104600,31900
2D2,97300,31900
2D1,90000,31900
2E1,90000,39200
2E2,97300,39200
2E3,104600,39200
2E4,111900,39200
2E5,119200,39200
2E6,126500,39200
2E7,133800,39200
2E8,141100,39200
2E9,148400,39200
2E10,155700,39200
2E11,163000,39200
2E12,170300,39200
2F12,170300,46500
2F11,163000,46500
2F10,155700,46500
2F9,148400,46500
2F8,141100,46500
2F7,133800,46500
2F6,126500,46500
2F5,119200,46500
2F4,111900,46500
2F3,104600,46500
2F2,97300,46500
2F1,90000,46500
2G1,90000,53800
2G2,97300,53800
2G3,104600,53800
2G4,111900,53800
2G5,119200,53800
2G6,126500,53800
2G7,133800,53800
2G8,141100,53800
2G9,148400,53800
2G10,155700,53800
2G11,163000,53800
2G12,170300,53800
2H12,170300,61100
2H11,163000,61100
2H10,155700,61100
2H9,148400,61100
2H8,141100,61100
2H7,133800,61100
2H6,126500,61100
2H5,119200,61100
2H4,111900,61100
2H3,104600,61100
2H2,97300,61100
2H1,90000,61100
3A1,173500,10000
3A2,180800,10000
3A3,188100,10000
3A4,195400,10000
3A5,202700,10000
3A6,210000,10000
3A7,217300,10000
3A8,224600,10000
3A9,231900,10000
3A10,239200,10000
3A11,246500,10000
3A12,253800,10000
3B12,253800,17300
3B11,246500,17300
3B10,239200,17300
3B9,231900,17300
3B8,224600,17300
3B7,217300,17300
3B6,210000,17300
3B5,202700,17300
3B4,195400,17300
3B3,188100,17300
3B2,180800,17300
3B1,173500,17300
3C1,173500,24600
3C2,180800,24600
3C3,188100,24600
3C4,195400,24600
3C5,202700,24600
3C6,210000,24600
3C7,217300,24600
3C8,224600,24600
3C9,231900,24600
3C10,239200,24600
3C11,246500,24600
3C12,253800,24600
3D12,253800,31900
3D11,246500,31900
3D10,239200,31900
3D9,231900,31900
3D8,224600,31900
3D7,217300,31900
3D6,210000,31900
3D5,202700,31900
3D4,195400,31900
3D3,188100,31900
3D2,180800,31900
3D1,173500,31900
3E1,173500,39200
3E2,180800,39200
3E3,188100,39200
3E4,195400,39200
3E5,202700,39200
3E6,210000,39200
3E7,217300,39200
3E8,224600,39200
3E9,231900,39200
3E10,239200,39200
3E11,246500,39200
3E12,253800,39200
3F12,253800,46500
3F11,246500,46500
3F10,239200,46500
3F9,231900,46500
3F8,224600,46500
3F7,217300,46500
3F6,210000,46500
